source,target,row_num,year
author_1717,paper_1121,6,2000
author_7315,paper_1121,7,2000
author_1714,paper_1121,8,2000
author_1716,paper_1121,9,2000
author_1715,paper_1121,11,2000
author_1891,paper_1260,23,2001
author_7323,paper_1260,24,2001
author_1890,paper_1260,25,2001
author_1892,paper_1260,26,2001
author_3889,paper_1260,44,2001
author_6506,paper_1368,18,2002
author_2025,paper_1368,19,2002
author_2024,paper_1368,20,2002
author_6903,paper_1368,21,2002
author_6905,paper_1368,22,2002
author_3889,paper_1368,45,2002
author_3889,paper_1541,32,2002
author_1715,paper_1541,34,2002
author_2288,paper_1553,1,2003
author_2290,paper_1553,2,2003
author_6511,paper_1553,3,2003
author_2289,paper_1553,4,2003
author_1717,paper_1553,5,2003
author_1715,paper_1553,10,2003
author_2877,paper_2037,27,2004
author_2879,paper_2037,28,2004
author_7211,paper_2037,29,2004
author_2878,paper_2037,30,2004
author_3889,paper_2037,31,2004
author_4322,paper_2094,36,2005
author_3875,paper_2094,37,2005
author_6472,paper_2094,38,2005
author_2939,paper_2094,39,2005
author_2938,paper_2094,40,2005
author_6797,paper_2094,41,2005
author_6471,paper_2094,42,2005
author_3889,paper_2094,43,2005
author_3889,paper_2720,33,2005
author_1715,paper_2720,35,2005
author_4874,paper_3406,12,2006
author_4876,paper_3406,13,2006
author_5304,paper_3406,14,2006
author_4875,paper_3406,15,2006
author_5567,paper_3406,16,2006
author_4877,paper_3406,17,2006
author_3889,paper_3406,46,2006
